Name of Candidate/Public Official/Ballot Issue,Name of Candidate/Public Official/Ballot Issue2,SponsorLink_join,
Rep. Ken Martinez      (CCA),Rep. Ken Martinez (CCA),W. Ken Martinez,
Rep. Ken Martinez     CCA,Rep. Ken Martinez CCA,W. Ken Martinez,
Rep. Ken Martinez    CCA,Rep. Ken Martinez CCA,W. Ken Martinez,
Rep Ken Martinez  Duplicate to Dan Weaks,Rep Ken Martinez Duplicate to Dan Weaks,W. Ken Martinez,
Rep Ken Martinez  Duplicate to Marla Shoats,Rep Ken Martinez Duplicate to Marla Shoats,W. Ken Martinez,
Rep Ken Martinez~Duplicate to Dan Weaks,Rep Ken Martinez~Duplicate to Dan Weaks,W. Ken Martinez,
Rep Ken Martinez~Duplicate to Marla Shoats,Rep Ken Martinez~Duplicate to Marla Shoats,W. Ken Martinez,
Representative Ken Martinez~Duplicate to Dan Weaks,Representative Ken Martinez~Duplicate to Dan Weaks,W. Ken Martinez,
ken martinez leadership,ken martinez leadership,W. Ken Martinez,
ken martinez leadership for NextEra,ken martinez leadership for NextEra,W. Ken Martinez,
ken martinez leadership for tw telecom,ken martinez leadership for tw telecom,W. Ken Martinez,
ken martinez leadership for LKQ,ken martinez leadership for LKQ,W. Ken Martinez,
Ken Martinez Leadership Fund for LKQ,Ken Martinez Leadership Fund for LKQ,W. Ken Martinez,
Speaker Martinez Leadership Fund (VNB),Speaker Martinez Leadership Fund (VNB),W. Ken Martinez,
Ken Martinez Leadership Fund,Ken Martinez Leadership Fund,W. Ken Martinez,
Ken Martinez Leadership Fund ,Ken Martinez Leadership Fund,W. Ken Martinez,
Ken Martinez Leadership Fund (for Isleta Pueblo),Ken Martinez Leadership Fund (for Isleta Pueblo),W. Ken Martinez,
Ken Martinez Leadership Fund (for ITC Holdings),Ken Martinez Leadership Fund (for ITC Holdings),W. Ken Martinez,
Ken Martinez Leadership Fund (for Ohkay Owingeh),Ken Martinez Leadership Fund (for Ohkay Owingeh),W. Ken Martinez,
Ken Martinez Leadership Fund (for Sun Edison),Ken Martinez Leadership Fund (for Sun Edison),W. Ken Martinez,
Ken Martinez Leadership Fund for NextEra,Ken Martinez Leadership Fund for NextEra,W. Ken Martinez,
Ken Martinez for House (QC Holdings) ,Ken Martinez for House (QC Holdings),W. Ken Martinez,
Ken Martinez (for Isleta Pueblo),Ken Martinez (for Isleta Pueblo),W. Ken Martinez,
"Rep. Ken Martinez June 12, 2014 Fundraiser Dinner","Rep. Ken Martinez June 12, 2014 Fundraiser Dinner",W. Ken Martinez,
Rep Ken W. Martinez Duplicate to Marla Shoats,Rep Ken W. Martinez Duplicate to Marla Shoats,W. Ken Martinez,
Speaker W. Ken Martinez Leadership Fund,Speaker W. Ken Martinez Leadership Fund,W. Ken Martinez,
Speaker W. Ken Martinez,Speaker W. Ken Martinez,W. Ken Martinez,
Ken Martinez (for San Felipe Pueblo),Ken Martinez (for San Felipe Pueblo),W. Ken Martinez,
Ken Martinez for tw telecom,Ken Martinez for tw telecom,W. Ken Martinez,
Committee to Elect Ken Martinez,Committee to Elect Ken Martinez,W. Ken Martinez,
Committee to Re-Elect Ken Martinez,Committee to Re-Elect Ken Martinez,W. Ken Martinez,
Committee to Re-elect W. Ken Martinez,Committee to Re-elect W. Ken Martinez,W. Ken Martinez,
Comte to Elect Ken Martinez(Ck from Union Pacific),Comte to Elect Ken Martinez(Ck from Union Pacific),W. Ken Martinez,
Representative W. Ken Martinez,Representative W. Ken Martinez,W. Ken Martinez,
Speaker Ken Martinez Leadership Fund,Speaker Ken Martinez Leadership Fund,W. Ken Martinez,
W. KEN MARTINEZ,W. KEN MARTINEZ,W. Ken Martinez,
W. Ken Martinez Campaign Fund,W. Ken Martinez Campaign Fund,W. Ken Martinez,
Ken Martinez,Ken Martinez,W. Ken Martinez,
Ken Martinez ,Ken Martinez,W. Ken Martinez,
Ken Martinez (Lovelace) ,Ken Martinez (Lovelace),W. Ken Martinez,
Ken Martinez Committee,Ken Martinez Committee,W. Ken Martinez,
Ken W. Martinez,Ken W. Martinez,W. Ken Martinez,
Kenny Martinez,Kenny Martinez,W. Ken Martinez,
Kenny Martinez (client),Kenny Martinez (client),W. Ken Martinez,
Ken Martinez (ABQ Studios),Ken Martinez (ABQ Studios),W. Ken Martinez ,
Rep. WIilly Madrid,Rep. WIilly Madrid,WIilly Madrid,
Bill Pratt,Bill Pratt,William Bill Pratt,
William Pratt,William Pratt,William Bill Pratt,
William Pratt 27 Campaign ,William Pratt 27 Campaign,William Bill Pratt,
Elect Bill Rehm,Elect Bill Rehm,William Bill R. Rehm,
Re-elect  Bill Rehm,Re-elect Bill Rehm,William Bill R. Rehm,
Re-elect Bill Rehm,Re-elect Bill Rehm,William Bill R. Rehm,
Bill R. Rehm,Bill R. Rehm,William Bill R. Rehm,
Bill Rehm,Bill Rehm,William Bill R. Rehm,
Bill Rehm ,Bill Rehm,William Bill R. Rehm,
Bill Rehm Committee,Bill Rehm Committee,William Bill R. Rehm,
Bill Rehm for Representative,Bill Rehm for Representative,William Bill R. Rehm,
Bill Rehm of New Mexico,Bill Rehm of New Mexico,William Bill R. Rehm,
Committee to Elect Bill Rehm,Committee to Elect Bill Rehm,William Bill R. Rehm,
Committee to Elect Bill Rehm ,Committee to Elect Bill Rehm,William Bill R. Rehm,
Committee to Elect Eilliam Rehm,Committee to Elect Eilliam Rehm,William Bill R. Rehm,
Committee to Elect William R. Rehm,Committee to Elect William R. Rehm,William Bill R. Rehm,
Committee to Elect William Rehm,Committee to Elect William Rehm,William Bill R. Rehm,
Committee to Elect William Rehm (State Rep.),Committee to Elect William Rehm (State Rep.),William Bill R. Rehm,
Committee to Reelect Bill Rehm,Committee to Reelect Bill Rehm,William Bill R. Rehm,
Committee to Re-elect Bill Rehm,Committee to Re-elect Bill Rehm,William Bill R. Rehm,
Committee to Re-Elect Bill Rehm ,Committee to Re-Elect Bill Rehm,William Bill R. Rehm,
Committee to Re-Elect Bill Rehm (VNB) ,Committee to Re-Elect Bill Rehm (VNB),William Bill R. Rehm,
"Committee to Re-Elect William ""Bill"" R. Rehm","Committee to Re-Elect William ""Bill"" R. Rehm",William Bill R. Rehm,
Committee to Re-Elect William R. Rehm,Committee to Re-Elect William R. Rehm,William Bill R. Rehm,
Committee to Re-elect William Rehm,Committee to Re-elect William Rehm,William Bill R. Rehm,
Committee to Re-elect William Sharer,Committee to Re-elect William Sharer,William Bill R. Rehm,
Representative William Rehm,Representative William Rehm,William Bill R. Rehm,
"William ""Bill"" Rehm (Lovelace) ","William ""Bill"" Rehm (Lovelace)",William Bill R. Rehm,
"William ""Bill"" Rehm Campaign (RAI)","William ""Bill"" Rehm Campaign (RAI)",William Bill R. Rehm,
"William ""Bill"" Rehm Re-Elect","William ""Bill"" Rehm Re-Elect",William Bill R. Rehm,
William Bill Rehm,William Bill Rehm,William Bill R. Rehm,
William R. Rehm,William R. Rehm,William Bill R. Rehm,
William R. Rehm ,William R. Rehm,William Bill R. Rehm,
William Rehm,William Rehm,William Bill R. Rehm,
William Rehm ,William Rehm,William Bill R. Rehm,
William Rehm Campaign (VNB) ,William Rehm Campaign (VNB),William Bill R. Rehm,
William Rehm on behalf of Verizon,William Rehm on behalf of Verizon,William Bill R. Rehm,
Willian Rehm,Willian Rehm,William Bill R. Rehm,
CTE Rep. Bill Rehm,CTE Rep. Bill Rehm,William Bill R. Rehm,
Rep Bill Rehm,Rep Bill Rehm,William Bill R. Rehm,
Rep. Bill Rehm,Rep. Bill Rehm,William Bill R. Rehm,
Rep. Bill Rehm         (CCA),Rep. Bill Rehm (CCA),William Bill R. Rehm,
Rep. Bill Rehm on behalf of Occidental,Rep. Bill Rehm on behalf of Occidental,William Bill R. Rehm,
CTE Rep. William R. Rehm,CTE Rep. William R. Rehm,William Bill R. Rehm,
Rep. Bill Rehm     T-Mobile,Rep. Bill Rehm T-Mobile,William Bill R. Rehm,
Rep. William Rehm,Rep. William Rehm,William Bill R. Rehm,
Bill Sharer,Bill Sharer,William E. Sharer,
Bill Sharer ,Bill Sharer,William E. Sharer,
Bill Sharer Committee,Bill Sharer Committee,William E. Sharer,
Bill Sharer for State Senate,Bill Sharer for State Senate,William E. Sharer,
Campaign to Elect William Sharer (Cash America) ,Campaign to Elect William Sharer (Cash America),William E. Sharer,
Committee to Re-elect Senator Bill Sharer,Committee to Re-elect Senator Bill Sharer,William E. Sharer,
Committee to Re-Elect William E. Sharer,Committee to Re-Elect William E. Sharer,William E. Sharer,
Sen William Sharer,Sen William Sharer,William E. Sharer,
Sen William Sharer  Duplicate to Dan Weaks,Sen William Sharer Duplicate to Dan Weaks,William E. Sharer,
Sen William Sharer  Duplicate to Marla Shoats,Sen William Sharer Duplicate to Marla Shoats,William E. Sharer,
Sen. Bill Sharer,Sen. Bill Sharer,William E. Sharer,
Sen. William Sharer,Sen. William Sharer,William E. Sharer,
Senator Bill Sharer,Senator Bill Sharer,William E. Sharer,
Senator William Sharer,Senator William Sharer,William E. Sharer,
Senator William Sharer~Duplicate to Dan Weaks,Senator William Sharer~Duplicate to Dan Weaks,William E. Sharer,
Senator William Sharer~Duplicate to Marla Shoats,Senator William Sharer~Duplicate to Marla Shoats,William E. Sharer,
Sharer for State Senate,Sharer for State Senate,William E. Sharer,
Sharer for State Senate(Ck from Union Pacific),Sharer for State Senate(Ck from Union Pacific),William E. Sharer,
"Sharer, W","Sharer, W",William E. Sharer,
William E Sharer,William E Sharer,William E. Sharer,
William E. Sharer,William E. Sharer,William E. Sharer,
William E. Sharer ,William E. Sharer,William E. Sharer,
William Sharer,William Sharer,William E. Sharer,
William Sharer ,William Sharer,William E. Sharer,
William Sharer (Client),William Sharer (Client),William E. Sharer,
William Sharer Campaign Fund,William Sharer Campaign Fund,William E. Sharer,
William Sharer for Senator,William Sharer for Senator,William E. Sharer,
William Sharer for State Senate,William Sharer for State Senate,William E. Sharer,
CTE Senator Bill Sharer ,CTE Senator Bill Sharer,William E. Sharer,
CTE Sen. William Burt,CTE Sen. William Burt,William F. Burt,
CTE Senator Bill Burt ,CTE Senator Bill Burt,William F. Burt,
Bill Burt,Bill Burt,William F. Burt,
Bill Burt ,Bill Burt,William F. Burt,
Bill Burt Committee,Bill Burt Committee,William F. Burt,
Burt,Burt,William F. Burt,
Burt W,Burt W,William F. Burt,
Committee to Elect William Burt,Committee to Elect William Burt,William F. Burt,
Committee to Elect William Burt (State Sen.),Committee to Elect William Burt (State Sen.),William F. Burt,
Committee to Elect William F. Burt (State Senator),Committee to Elect William F. Burt (State Senator),William F. Burt,
Committee to Re-elect William Burt,Committee to Re-elect William Burt,William F. Burt,
Committee to Re-Elect William F. Burt,Committee to Re-Elect William F. Burt,William F. Burt,
Comte to Elect Sen Burt(Ck from Union Pacific),Comte to Elect Sen Burt(Ck from Union Pacific),William F. Burt,
Sen William Burt,Sen William Burt,William F. Burt,
Sen. Bill Burt,Sen. Bill Burt,William F. Burt,
Sen. William Burt,Sen. William Burt,William F. Burt,
Senator Bill Burt,Senator Bill Burt,William F. Burt,
Senator William Burt,Senator William Burt,William F. Burt,
Senator William Burt~Duplicate to Dan Weaks,Senator William Burt~Duplicate to Dan Weaks,William F. Burt,
Senator William Burt~Duplicate to Marla Shoats,Senator William Burt~Duplicate to Marla Shoats,William F. Burt,
William Burt,William Burt,William F. Burt,
William Burt ,William Burt,William F. Burt,
William Burt for tw telecom,William Burt for tw telecom,William F. Burt,
William F. Burt,William F. Burt,William F. Burt,
William F. Burt ,William F. Burt,William F. Burt,
Rep. Bill Gray,Rep. Bill Gray,William Gray,
Rep William Gray~Duplicate to Dan Weaks,Rep William Gray~Duplicate to Dan Weaks,William Gray,
Rep William Gray~Duplicate to Marla Shoats,Rep William Gray~Duplicate to Marla Shoats,William Gray,
Committee to Elect William J. Gray,Committee to Elect William J. Gray,William Gray,
Bill Payne,Bill Payne,William H. Payne,
Bill Payne Campaign (Farmers Insurance),Bill Payne Campaign (Farmers Insurance),William H. Payne,
Bill Payne for tw telecom,Bill Payne for tw telecom,William H. Payne,
Campaign to Elect William Payne (Cash America) ,Campaign to Elect William Payne (Cash America),William H. Payne,
Committee to Elect William Payne,Committee to Elect William Payne,William H. Payne,
Committee to Re-elect Bill Payne,Committee to Re-elect Bill Payne,William H. Payne,
Committee to Re-Elect William H. Payne,Committee to Re-Elect William H. Payne,William H. Payne,
Committee to Re-elect William Payne,Committee to Re-elect William Payne,William H. Payne,
Committee to ReElect William Payne (TW Telecom),Committee to ReElect William Payne (TW Telecom),William H. Payne,
Sen Bill Payne,Sen Bill Payne,William H. Payne,
Sen Bill Payne  Duplicate to Dan Weaks,Sen Bill Payne Duplicate to Dan Weaks,William H. Payne,
Sen Bill Payne  Duplicate to Marla Shoats,Sen Bill Payne Duplicate to Marla Shoats,William H. Payne,
Sen William Payne,Sen William Payne,William H. Payne,
Sen. Bill Payne,Sen. Bill Payne,William H. Payne,
Sen. Bill Payne     (T-Mobile),Sen. Bill Payne (T-Mobile),William H. Payne,
Sen. William Payne,Sen. William Payne,William H. Payne,
Senator Bill Payne,Senator Bill Payne,William H. Payne,
Senator Bill Payne on behalf of Verizon,Senator Bill Payne on behalf of Verizon,William H. Payne,
Senator William Payne,Senator William Payne,William H. Payne,
Senator William Payne~Duplicate to Dan Weaks,Senator William Payne~Duplicate to Dan Weaks,William H. Payne,
Senator William Payne~Duplicate to Marla Shoats,Senator William Payne~Duplicate to Marla Shoats,William H. Payne,
Willam Payne,Willam Payne,William H. Payne,
William H. Payne,William H. Payne,William H. Payne,
William Payne,William Payne,William H. Payne,
William Payne ,William Payne,William H. Payne,
William Payne (Client),William Payne (Client),William H. Payne,
William Payne (Lovelace) ,William Payne (Lovelace),William H. Payne,
William Payne Campaign Fund,William Payne Campaign Fund,William H. Payne,
William Payne Committee ,William Payne Committee,William H. Payne,
William Payne for Senate (QC Holdings) ,William Payne for Senate (QC Holdings),William H. Payne,
William Payne for Senator,William Payne for Senator,William H. Payne,
William Payne for State Senate,William Payne for State Senate,William H. Payne,
Elect Bill Payne,Elect Bill Payne,William H. Payne,
New Mexico Senator Bill Payne,New Mexico Senator Bill Payne,William H. Payne,
CTE Senator Bill Payne ,CTE Senator Bill Payne,William H. Payne,
Comte to Reelect Sen Payne(Ck from Union Pacific),Comte to Reelect Sen Payne(Ck from Union Pacific),William H. Payne,
Rep. William Payne,Rep. William Payne,William H. Payne,
Dr. Bill Pratt 27 Campaign,Dr. Bill Pratt 27 Campaign,William Pratt,
Bill Soules,Bill Soules,William Soules,
Bill Soules for Senate,Bill Soules for Senate,William Soules,
Committee to Elect Bill Soules,Committee to Elect Bill Soules,William Soules,
Committee to Elect Senator William P. Soules,Committee to Elect Senator William P. Soules,William Soules,
Committee to Elect William Soules,Committee to Elect William Soules,William Soules,
Comte to Elect Soules(Ck from Union Pacific),Comte to Elect Soules(Ck from Union Pacific),William Soules,
Sen William Soules  Duplicate to Dan Weaks,Sen William Soules Duplicate to Dan Weaks,William Soules,
Sen William Soules  Duplicate to Marla Shoats,Sen William Soules Duplicate to Marla Shoats,William Soules,
Sen. Bill Soules,Sen. Bill Soules,William Soules,
Sen. Soules,Sen. Soules,William Soules,
Senator Bill Soules,Senator Bill Soules,William Soules,
Senator William Soules,Senator William Soules,William Soules,
Senator William Soules~Duplicate to Dan Weaks,Senator William Soules~Duplicate to Dan Weaks,William Soules,
Senator William Soules~Duplicate to Marla Shoats,Senator William Soules~Duplicate to Marla Shoats,William Soules,
"Soules, W","Soules, W",William Soules,
William P. Soules,William P. Soules,William Soules,
William Soles,William Soles,William Soules,
William Soules,William Soules,William Soules,
William Soules ,William Soules,William Soules,
William Soules for NM State Senate,William Soules for NM State Senate,William Soules,
William Soules for State Senate,William Soules for State Senate,William Soules,
Elect Bill Soules,Elect Bill Soules,William Soules,
Re-elect Bill Soules,Re-elect Bill Soules,William Soules,
Committee to Elect Willie Madrid,Committee to Elect Willie Madrid,Willie D. Madrid,
Representative Willie D. Madrid,Representative Willie D. Madrid,Willie D. Madrid,
Willie Al Madrid ,Willie Al Madrid,Willie D. Madrid,
Willie Madrid,Willie Madrid,Willie D. Madrid,
Willie Madrid ,Willie Madrid,Willie D. Madrid,
Willy Madrid,Willy Madrid,Willie D. Madrid,
Rep. Willie Madrid,Rep. Willie Madrid,Willie D. Madrid,
Friends of Yvette Herrell (NMIFA-Royal Management),Friends of Yvette Herrell (NMIFA-Royal Management),Yvette Hererll,
Rep Yvette Herrell  Duplicate to Dan Weaks,Rep Yvette Herrell Duplicate to Dan Weaks,Yvette Hererll,
Rep Yvette Herrell Duplicate to Marla Shoats,Rep Yvette Herrell Duplicate to Marla Shoats,Yvette Hererll,
Rep Yvette Herrell~Duplicate to Dan Weaks,Rep Yvette Herrell~Duplicate to Dan Weaks,Yvette Hererll,
Rep Yvette Herrell~Duplicate to Marla Shoats,Rep Yvette Herrell~Duplicate to Marla Shoats,Yvette Hererll,
Rep. Yvette Herrell on behalf of Occidental,Rep. Yvette Herrell on behalf of Occidental,Yvette Hererll,
Rep. Yvette Hererll,Rep. Yvette Hererll,Yvette Hererll,
Committee to Elect 2016 Yvette Herrell,Committee to Elect 2016 Yvette Herrell,Yvette Herrell,
Committee to Elect Yvette Harrell,Committee to Elect Yvette Harrell,Yvette Herrell,
Committee to Elect Yvette Herell,Committee to Elect Yvette Herell,Yvette Herrell,
Committee to Elect Yvette Herrell,Committee to Elect Yvette Herrell,Yvette Herrell,
Committee to Re-Elect Yvette Herrell,Committee to Re-Elect Yvette Herrell,Yvette Herrell,
Representative Yvette Harrell,Representative Yvette Harrell,Yvette Herrell,
Representative Yvette Herrell,Representative Yvette Herrell,Yvette Herrell,
Stella Yvette Herrell,Stella Yvette Herrell,Yvette Herrell,
Stella Yvette Herrell ,Stella Yvette Herrell,Yvette Herrell,
Yvett Herrell,Yvett Herrell,Yvette Herrell,
Yvette Harrell,Yvette Harrell,Yvette Herrell,
Yvette Herrell,Yvette Herrell,Yvette Herrell,
Yvette Herrell ,Yvette Herrell,Yvette Herrell,
Yvette Herrell (Lovelace) ,Yvette Herrell (Lovelace),Yvette Herrell,
Yvette Herrell (QC Holdings) ,Yvette Herrell (QC Holdings),Yvette Herrell,
Yvette Herrell Campaign (RAI),Yvette Herrell Campaign (RAI),Yvette Herrell,
Yvette Herrell Committee ,Yvette Herrell Committee,Yvette Herrell,
Yvette Herrell for Representative,Yvette Herrell for Representative,Yvette Herrell,
Yvette Herrell Ruidoso,Yvette Herrell Ruidoso,Yvette Herrell,
Yvette S. Herrell,Yvette S. Herrell,Yvette Herrell,
Rep. Yvette Herrell,Rep. Yvette Herrell,Yvette Herrell,
Rep Zach Cook,Rep Zach Cook,Zachary J. Cook,
Rep. Zach Cook,Rep. Zach Cook,Zachary J. Cook,
Rep. Zach Cook   (T-Mobile),Rep. Zach Cook (T-Mobile),Zachary J. Cook,
Zack Cook Re-Elect,Zack Cook Re-Elect,Zachary J. Cook,
Rep. Zach Cook       CCA,Rep. Zach Cook CCA,Zachary J. Cook,
Rep. Zack Cook            (CCA),Rep. Zack Cook (CCA),Zachary J. Cook,
CTE Rep. Zach Cook ,CTE Rep. Zach Cook,Zachary J. Cook,
CTE Rep. Zachary Cook,CTE Rep. Zachary Cook,Zachary J. Cook,
Friends of Zach Cook (Western Shamrock),Friends of Zach Cook (Western Shamrock),Zachary J. Cook,
Rep. Zachary Cook,Rep. Zachary Cook,Zachary J. Cook,
CTE Rep. Zachary J.  Cook,CTE Rep. Zachary J. Cook,Zachary J. Cook,
Committee to Elect Zach Cook,Committee to Elect Zach Cook,Zachary J. Cook,
Committee to Elect Zach Cook (Cash America) ,Committee to Elect Zach Cook (Cash America),Zachary J. Cook,
Committee to Elect Zachary Cook,Committee to Elect Zachary Cook,Zachary J. Cook,
Committee to Elect Zack Cook ,Committee to Elect Zack Cook,Zachary J. Cook,
Committee to Re-elect Representative Zach Cook,Committee to Re-elect Representative Zach Cook,Zachary J. Cook,
Committee to Re-elect Zach Cook,Committee to Re-elect Zach Cook,Zachary J. Cook,
Committee to Re-Elect Zachary J. Cook,Committee to Re-Elect Zachary J. Cook,Zachary J. Cook,
Committee to Re-elect Zack Cook,Committee to Re-elect Zack Cook,Zachary J. Cook,
